,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
770,Tashkent,Good,47.8,,4.0,,,
771,"Sreepur, Dhaka",Very Unhealthy,229.0,,,,,
772,"Manikganj, Dhaka",Very Unhealthy,182.1,,,,,
773,"Dhaka, Dhaka",Very Unhealthy,180.6,,,,,
774,"Savar, Dhaka",Unhealthy,111.8,,,,,
775,"Narayanganj, Dhaka",Moderate,13.0,,,,,
776,"Faisalabad, Punjab",Hazardous,462.0,,,,,
777,"Lahore, Punjab",Very Unhealthy,207.0,,,,,
778,"Rawalpindi, Punjab",Very Unhealthy,172.8,,,,,
779,"Karachi, Sindh",Unhealthy,133.9,,,,,
780,"Raiwind, Punjab",Unhealthy,113.1,,,,,
781,"Islamabad, Islamabad",Unhealthy,86.9,,,,,
782,"Muridke, Punjab",Unhealthy,90.4,,,,,
783,"Multan, Punjab",Unhealthy For Sensitive Groups,48.7,,,,,
784,"Abbottabad, Khyber Pakhtunkhwa",Moderate,13.2,,,,,
785,"Ulaanbaatar, Ulaanbaatar",Unhealthy,137.0,87.0,4.0,26.5,134.0,14.5
786,"Tsetserleg, Arhangay",Good,10.0,,,,,
787,"Urt, OEmnoegovi",Moderate,27.0,39.0,,6.0,5.0,
788,"Hongor, Suhbaatar",Moderate,20.0,24.0,,8.0,13.0,
789,"Ulaan-Uul, East Gobi Aymag",Moderate,18.0,22.0,,11.0,36.0,
790,"Sumber, East Aimak",Good,6.5,7.0,,7.0,5.0,
791,"Chonogol, Suhbaatar",Good,4.0,6.0,,8.0,10.0,
792,"Ulan Bator, Ulaanbaatar",,,,,,,
793,"Kabul, Kabul",Unhealthy,117.7,,,,,
794,"New Delhi, Delhi",Very Unhealthy,190.3,477.9,8.0,38.9,7.2,3820.0
795,"Dadri, Uttar Pradesh",Hazardous,350.0,550.0,2.0,172.0,8.0,
796,"Shahdara, Delhi",Hazardous,266.1,548.8,36.2,139.0,,4614.4
797,"Meerut, Uttar Pradesh",Very Unhealthy,186.0,368.6,16.0,,1.6,
798,"Sector, Uttar Pradesh",Hazardous,350.0,538.0,22.0,84.0,7.6,4650.0
799,"Gurugram, Haryana",Very Unhealthy,166.9,327.0,2.0,25.2,4.8,1120.0
800,"Bulandshahr, Uttar Pradesh",Hazardous,350.0,482.7,9.0,,17.6,
801,"Noida, Uttar Pradesh",Hazardous,285.0,433.4,13.5,13.6,8.0,2820.0
802,"Greater Noida, Uttar Pradesh",Hazardous,350.0,500.7,5.0,,11.2,
803,"Delhi, Delhi",Hazardous,291.0,402.8,7.2,49.7,21.8,2690.0
804,"Defence Colony, Delhi",Hazardous,237.3,498.3,29.9,50.9,17.6,3220.0
805,"Karol Bagh, Delhi",Hazardous,301.5,491.1,8.8,69.1,18.9,3800.0
806,"Dasna, Uttar Pradesh",Hazardous,314.0,475.5,4.0,,10.4,
807,"Loni, Uttar Pradesh",Hazardous,303.0,439.4,8.0,28.0,6.4,
808,"Surabaya, East Java",Unhealthy For Sensitive Groups,48.4,,,,,
809,"Pontianak, West Kalimantan",Unhealthy For Sensitive Groups,38.2,,,,,
810,"Bangkinang, Riau",Moderate,29.8,,,,,
811,"Balaipungut, Riau",Moderate,27.7,,,,,
812,"Dumai, Riau",Moderate,26.0,,,,,
813,"Semarang, Central Java",Moderate,25.9,,,,,
814,"Jambi, Jambi",Moderate,25.1,,,,,
815,"Sedinginan, Riau",Moderate,22.3,,,,,
816,"Duri, Riau",Moderate,20.4,,,,,
817,"Jakarta, Jakarta",Moderate,19.6,,,,,
818,"Manama, Capital Governorate",Unhealthy,61.0,,,,,
819,"Siddharthanagar, Western Region",Unhealthy,135.7,,,,,
820,"Nepalgunj, Mid Western",Unhealthy,137.3,73.3,,,,
821,"Tulsipur, Mid Western",Unhealthy,109.5,,,,,
822,"Kirtipur, Central Region",Unhealthy,116.0,72.1,,,,
823,"Kathmandu, Central Region",Unhealthy,136.0,107.6,4.0,,,
824,"Dhankuta, Eastern Region",Unhealthy,93.8,105.9,,,,
825,"Patan, Central Region",Unhealthy,88.1,91.2,,,,
826,"Pokhara, Western Region",Unhealthy,71.6,,,,,
827,"Bhaktapur, Central Region",Unhealthy,74.7,,,,,
828,"Bharatpur, Central Region",Unhealthy,63.6,63.6,,,,
829,"Nassau, New Providence",Good,7.5,,,,,
830,"Governor's Harbour, Central Eleuthera",Good,3.4,,,,,
831,"Charlotte Amalie, Saint Thomas Island",Good,0.9,,,,,
832,"Cruz Bay, Saint John Island",Good,1.0,,,,,
833,"Hafnarfjoerdur, Capital Region",Good,8.2,11.4,,5.7,3.9,
834,"Reykjavik, Capital Region",Good,5.0,6.7,,4.7,7.0,
835,"Kopavogur, Capital Region",Good,3.0,4.4,,0.0,0.0,
836,"Akureyri, Northeast",Good,2.0,2.0,,0.0,,
837,"Grundartangi, West",Good,1.3,3.8,,0.0,0.0,
838,"Isafjoerdur, Westfjords",Good,0.0,,,,,
839,"Reydarfjoerdur, East",,,,,,,
840,"Kaarina, Finland Proper",Good,11.0,6.6,,11.7,,
841,"Turku, Finland Proper",Good,11.0,7.2,,14.5,,
842,"Naantali, Finland Proper",Good,8.0,2.3,,6.0,2.7,
843,"Raahe, Northern Ostrobothnia",Good,8.0,12.8,,4.8,39.2,
844,"Varkaus, Northern Savonia",Good,8.0,11.4,,6.1,,
845,"Pertteli, Finland Proper",Good,6.3,,,,,
846,"Hameenlinna, Tavastia Proper",Good,6.0,6.1,,4.5,,
847,"Raisio, Finland Proper",Good,6.0,11.2,,10.1,1.2,
848,"Vaasa, Central Ostrobothnia",Good,5.4,7.1,,,,
849,"Helsinki, Uusimaa",Good,5.2,6.1,49.5,8.0,0.0,
850,"Tallinn, Harjumaa",Good,11.0,8.9,53.0,3.8,2.3,240.0
851,"Voore, Jogevamaa",Good,6.1,,,2.5,1.1,
852,"Sillamaee, Ida-Virumaa",Good,6.0,15.8,,,,
853,"Tartu, Tartumaa",Good,6.7,8.7,,2.7,0.0,220.0
854,"Narva, Ida-Virumaa",Good,3.5,6.8,,1.7,2.5,
855,"Sinimaee, Ida-Virumaa",Good,4.0,18.1,,,2.1,
856,"Kohtla-Jaerve, Ida-Virumaa",Good,3.7,9.1,,1.2,3.0,
857,"Viljandi, Viljandimaa",Good,,,,3.9,2.2,
858,"Parnu Jogi, Paernumaa",,,,,,,
859,"Goeteborg, Västra Götalands län",Good,5.9,6.3,,14.8,,
860,"Lund, Skåne län",Good,5.0,6.2,44.0,2.4,,
861,"Sodertalje, Stockholm",Good,5.0,3.7,,4.9,,
862,"Kungsbacka, Hallands län",Good,5.2,,,,,
863,"Staffanstorp, Skane",Good,,,48.9,,,
864,"Helsingborg, Skåne län",Good,4.6,4.8,,2.2,,
865,"Klaverod, Skane",Good,4.7,6.3,,,,
866,"Malmö, Skåne län",Good,4.7,3.1,39.8,6.1,,
867,"Linköping, Östergötlands län",Good,6.5,,,,,
868,"Onsala, Hallands län",Good,3.8,3.8,,,,
869,"Baerum, Akershus",Moderate,25.1,28.4,,16.2,,
870,"Stavanger, Rogaland",Moderate,25.2,26.1,,54.6,,
871,"Kjenn, Akershus",Moderate,21.3,26.9,,41.0,,
872,"Brevik, Telemark",Moderate,20.1,33.6,,19.6,0.0,
873,"Bergen, Hordaland",Moderate,16.9,28.4,9.4,44.0,,
874,"Hamar, Hedmark",Moderate,16.5,17.1,,42.5,,
875,"Sjolyststranda, Oslo",Moderate,15.8,17.2,,20.3,0.0,
876,"Ski, Akershus",Moderate,16.1,,,,,
877,"Moss, Ostfold",Moderate,15.2,17.5,,18.5,,
878,"Sandsli, Hordaland",Moderate,14.6,19.4,,,,
879,"Kaiapoi, Canterbury",Moderate,12.5,25.2,,,,
880,"Rangiora, Canterbury",Moderate,12.8,20.2,,,,
881,"Waimate, Canterbury",Good,11.8,17.5,,,,
882,"Geraldine, Canterbury",Good,7.8,12.7,,,,
883,"Christchurch, Canterbury",Good,0.0,18.7,,,,
884,"Blenheim, Marlborough",Good,7.0,7.8,,,,
885,"Darfield, Canterbury",Good,7.1,,,,,
886,"Hastings, Hawke's Bay",Good,6.9,15.6,,,,
887,"Wellington City, Wellington",Good,6.7,7.7,,5.0,,
888,"Winton, Southland",Good,6.8,,,,,
889,"Otterburn Park, Quebec",Unhealthy For Sensitive Groups,52.7,,,,,
890,"Saint-Hubert, Quebec",Unhealthy For Sensitive Groups,50.5,,,,,
891,"Saint-Eustache, Quebec",Unhealthy For Sensitive Groups,51.3,,,,,
892,"Hamilton, Ontario",Moderate,33.7,47.0,9.0,50.2,8.9,
893,"Nepean, Ontario",Unhealthy For Sensitive Groups,48.2,,,,,
894,"Gatineau, Quebec",Unhealthy For Sensitive Groups,46.1,,,,,
895,"Hull (Ile), Quebec",Unhealthy For Sensitive Groups,45.5,,22.0,30.1,,
896,"Dollard-Des Ormeaux, Quebec",Unhealthy For Sensitive Groups,44.8,,,,,
897,"Ottawa, Ontario",Unhealthy For Sensitive Groups,44.5,,18.0,25.0,0.0,
898,"Golden, British Columbia",Unhealthy For Sensitive Groups,54.2,18.0,,,,
899,"Darlinghurst, New South Wales",Unhealthy,55.8,6.6,38.0,13.2,2.6,1153.1
900,"Beresfield, New South Wales",Unhealthy For Sensitive Groups,52.7,13.2,54.0,7.5,23.6,
901,"Wyong, New South Wales",Unhealthy For Sensitive Groups,46.7,0.0,2.0,5.6,2.6,1.9
902,"Shellharbour, New South Wales",Unhealthy For Sensitive Groups,36.4,61.4,54.0,1.9,2.6,
903,"Geraldton, Western Australia",Moderate,12.1,134.6,,,,
904,"Manilla, New South Wales",Moderate,27.9,55.0,,,,
905,"Swan, Western Australia",Moderate,10.7,95.8,,5.6,,
906,"Orange, New South Wales",Moderate,9.1,80.3,4.0,,,
907,"Quinns Rocks, Western Australia",Moderate,4.6,71.3,,5.6,,
908,"Collie, Western Australia",Moderate,,67.3,,,,
909,"Mizuochicho, Fukui",Unhealthy,65.0,,,45.1,,
910,"Toyocho, Aichi",Unhealthy For Sensitive Groups,54.0,57.0,,63.9,13.1,
911,"Kumiyama, Kyoto",Moderate,34.0,,,43.2,2.6,
912,"Nishidako, Ehime",Unhealthy For Sensitive Groups,49.0,54.0,,,5.2,
913,"Minatojima, Hyogo",Moderate,32.0,,,67.7,,
914,"Hokujo, Nagano",Unhealthy For Sensitive Groups,45.0,,,1.9,2.6,
915,"Kitami, Hokkaido",Unhealthy For Sensitive Groups,45.0,38.0,,,,
916,"Yokkaichi, Mie",Unhealthy For Sensitive Groups,44.0,44.0,,37.6,2.6,
917,"Kusatsu, Shiga",Unhealthy For Sensitive Groups,43.0,,,,,
918,"Nakamura, Ehime",Moderate,28.0,,,,,
919,"Kashgar, Xinjiang",Hazardous,99.0,495.0,42.0,54.0,8.0,1600.0
920,"Xinzhou, Shanxi",Hazardous,94.0,427.0,49.0,19.0,12.0,600.0
921,"Shuozhou, Shanxi",Very Unhealthy,81.0,405.0,40.0,29.5,16.0,600.0
922,"Hohhot, Inner Mongolia",Very Unhealthy,107.0,399.0,60.0,12.0,7.0,557.5
923,"Xingbin Qu, Guangxi",Very Unhealthy,209.5,265.0,44.0,84.0,25.0,1450.0
924,"Yuncheng, Shanxi",Very Unhealthy,91.5,396.0,23.0,49.0,26.5,1150.0
925,"Huayin, Shaanxi",Very Unhealthy,75.5,369.5,,,28.0,
926,"Fuyang, Anhui",Very Unhealthy,145.5,369.0,30.0,59.0,16.0,1400.0
927,"Huaibei, Anhui",Very Unhealthy,100.0,367.0,40.0,44.0,17.0,1000.0
928,"Liuzhou, Guangxi",Very Unhealthy,165.5,221.0,28.0,72.0,52.0,1700.0
929,"Golden, British Columbia",Unhealthy For Sensitive Groups,54.2,18.0,,,,
930,"Otterburn Park, Quebec",Unhealthy For Sensitive Groups,52.7,,,,,
931,"Saint-Eustache, Quebec",Unhealthy For Sensitive Groups,51.3,,,,,
932,"Saint-Hubert, Quebec",Unhealthy For Sensitive Groups,50.5,,,,,
933,"Montreal, Quebec",Unhealthy For Sensitive Groups,49.5,,13.0,3.0,1.0,1000.0
934,"Nepean, Ontario",Unhealthy For Sensitive Groups,48.2,,,,,
935,"Gatineau, Quebec",Unhealthy For Sensitive Groups,46.1,,,,,
936,"Hull (Ile), Quebec",Unhealthy For Sensitive Groups,45.5,,22.0,30.1,,
937,"Dollard-Des Ormeaux, Quebec",Unhealthy For Sensitive Groups,44.8,,,,,
938,"Ottawa, Ontario",Unhealthy For Sensitive Groups,44.5,,18.0,25.0,0.0,
939,"Ho, Tinh Bac Ninh",Hazardous,255.3,330.7,,97.3,33.9,3.1
940,"Nhu Quynh, Tinh Hung Yen",Very Unhealthy,241.4,367.3,2.2,64.2,21.9,3.1
941,"Dong Anh, Hanoi",Very Unhealthy,209.6,262.0,,70.2,23.1,1.2
942,"Cho, Tinh Bac Ninh",Very Unhealthy,187.8,234.2,5.7,47.3,5.7,419.1
943,"Pho Moi, Tinh Bac Ninh",Very Unhealthy,183.0,263.8,6.0,88.1,113.5,8.7
944,"Van Dien, Hanoi",Very Unhealthy,182.3,222.3,,12.7,,1486.2
945,"Hanoi, Hanoi",Very Unhealthy,177.1,271.9,1.8,83.1,4.5,3653.2
946,"Bac Ninh, Tinh Bac Ninh",Very Unhealthy,171.8,224.7,,,84.5,
947,"Thua, Tinh Bac Ninh",Unhealthy,138.8,190.2,,39.3,20.2,2.3
948,"Phuc Yen, Tinh Vinh Phuc",Unhealthy,137.2,224.6,,,,
949,"Belfast, Northern Ireland",Moderate,30.2,,1.0,23.0,5.0,100.0
950,"Scunthorpe, England",Moderate,29.1,9.0,,,,
951,"Hackney, England",Moderate,29.0,20.3,,15.5,,
952,"Redcar, England",Moderate,29.0,23.3,1.5,,,
953,"Stockton, England",Moderate,28.0,,,,,
954,"Glasgow, Scotland",Moderate,27.3,19.1,4.1,59.5,,
955,"Middlesbrough, England",Moderate,27.1,30.9,3.8,31.9,5.7,
956,"Nantwich, England",Moderate,27.1,,,,,
957,"Cambridge, England",Moderate,26.2,15.0,,13.6,,
958,"Stockton-on-Tees, England",Moderate,24.0,23.2,,36.5,,
959,"Sallanches, Auvergne-Rhône-Alpes",Moderate,32.0,40.8,,,,
960,"Mantes-La-Jolie, Ile-de-France",Moderate,26.9,,50.8,18.6,,
961,"Paris, Ile-de-France",Moderate,24.9,10.6,34.9,14.9,0.0,
962,"Passy, Auvergne-Rhone-Alpes",Moderate,24.8,37.5,0.0,34.8,,
963,"Biot, Provence-Alpes-Cote d'Azur",Moderate,20.2,,,,,
964,"Belleville-sur-Meuse, Grand Est",Good,7.6,,,,,
965,"Chatou, Ile-de-France",Moderate,17.9,,,,,
966,"Portes-les-Valence, Auvergne-Rhone-Alpes",Moderate,16.0,22.3,25.2,22.8,,
967,"Saint-Pierre, Reunion",Moderate,16.0,20.2,1.8,11.9,0.0,0.0
968,"Rouen, Normandy",Good,12.0,19.0,32.5,16.0,1.0,
969,"Edertal, Hessen",Unhealthy,56.0,85.1,,5.3,1.0,
970,"Meppen, Lower Saxony",Moderate,32.4,,,,,
971,"Northeim, Lower Saxony",Moderate,31.7,,,,,
972,"Dresden, Saxony",Moderate,26.2,13.0,20.0,12.0,0.0,
973,"Meiderich, Nordrhein-Westfalen",Moderate,26.5,,,,,
974,"Titz, Nordrhein-Westfalen",Moderate,25.0,33.0,,,,
975,"Pfalzgrafenweiler, Baden-Wuerttemberg",Moderate,24.8,,,,,
976,"Schongau, Bavaria",Moderate,23.6,,,,,
977,"Hamburg, Hamburg",Moderate,22.9,,33.0,16.0,3.0,290.0
978,"Niederzier, Nordrhein-Westfalen",Moderate,23.0,32.0,,,,
979,"Phra Samut Chedi, Samut Prakan",Very Unhealthy,226.0,194.0,40.0,129.7,15.7,1019.1
980,"Bang Bon, Bangkok",Very Unhealthy,162.0,198.0,4.0,,,
981,"Sam Phran, Nakhon Pathom",Very Unhealthy,160.4,,,,,
982,"Samut Sakhon, Samut Sakhon",Very Unhealthy,157.0,195.0,4.0,53.6,43.2,1591.6
983,"Bang Lamung, Chon Buri",Unhealthy,139.0,,,,,
984,"Khlong Toei, Bangkok",Unhealthy,136.1,,,,,
985,"Thawi Watthana, Bangkok",Unhealthy,132.0,,,,,
986,"Samut Prakan, Samut Prakan",Unhealthy,130.1,151.0,116.0,80.8,26.2,1671.7
987,"Nakhon Pathom, Nakhon Pathom",Unhealthy,127.5,,,,,
988,"Saraburi, Sara Buri",Unhealthy,127.5,207.0,32.0,114.7,,
989,"Mendrisio, Ticino",Moderate,14.0,16.0,30.0,24.0,,
990,"Unteriberg, Schwyz",Moderate,25.0,,,,,
991,"Bioggio, Ticino",Moderate,21.0,25.0,9.0,31.0,,
992,"Chiasso, Ticino",Good,8.0,10.0,0.0,18.0,,
993,"Bodio, Ticino",Moderate,22.0,24.0,,15.0,4.0,
994,"Rotkreuz, Zug",Moderate,19.3,,,,,
995,"Dietikon, Zurich",Moderate,16.2,,,,,
996,"Dubendorf, Zurich",Moderate,14.2,4.0,40.0,29.0,,
997,"Giubiasco, Ticino",Moderate,14.0,15.0,55.0,11.0,,
998,"Pregassona, Ticino",Moderate,15.0,17.0,9.0,11.0,,
999,"Messini, Peloponnese",Moderate,35.4,,,,,
1000,"Meligalas, Peloponnese",Moderate,34.4,,,,,
1001,"Ioannina, Epirus",Moderate,20.4,,,,,
1002,"Orestiada, East Macedonia and Thrace",Moderate,15.1,,,,,
1003,"Alexandroupoli, East Macedonia and Thrace",Moderate,13.0,,,,,
1004,"Anatoli, Epirus",Good,12.1,,,,,
1005,"Souroti, Central Macedonia",Good,10.7,,,,,
1006,"Xanthi, East Macedonia and Thrace",Good,9.9,,,,,
1007,"Thermi, Central Macedonia",Good,9.1,,,,,
1008,"Kardia, Central Macedonia",Good,8.6,,,,,
1009,"Santos, Sao Paulo",Good,21.0,27.0,1.5,35.0,1.0,
1010,"Guarulhos, Sao Paulo",Moderate,14.5,23.5,22.0,20.0,1.0,458.0
1011,"Santa Branca, Sao Paulo",Good,9.1,,,,,
1012,"Sao Caetano do Sul, Sao Paulo",Good,12.0,28.0,30.0,13.0,1.0,
1013,"Taubate, Sao Paulo",Good,10.0,16.0,,6.0,,
1014,"Jundiai, Sao Paulo",Good,12.0,21.0,27.0,21.0,,
1015,"Sao Jose dos Campos, Sao Paulo",Good,8.0,49.0,12.0,44.0,1.0,343.5
1016,"Maua, Sao Paulo",Good,10.0,34.0,19.0,14.0,1.0,
1017,"Osasco, Sao Paulo",Moderate,13.0,24.0,,30.0,2.0,916.0
1018,"Sao Paulo, Sao Paulo",Good,6.0,12.0,26.0,16.0,,229.0
1019,"Kansk, Krasnoyarsk Krai",Unhealthy,60.0,,,,,
1020,"Zyryanka, Chukot",Unhealthy For Sensitive Groups,46.0,,,,,
1021,"Solnechnyy, Krasnoyarsk Krai",Unhealthy For Sensitive Groups,40.0,,,70.0,35.0,80.0
1022,"Balashikha, Moscow Oblast",Moderate,25.1,,,,,
1023,"Moscow, Moscow",Moderate,15.0,17.0,2.0,55.0,3.3,470.0
1024,"Berezovka, Krasnoyarsk Krai",Good,20.0,,,180.0,40.0,60.0
1025,"Kamensk-Shakhtinskiy, Rostov",Moderate,16.1,,,,,
1026,"Magnitogorsk, Chelyabinsk",Moderate,14.5,,,,,
1027,"Setun', Moscow",Moderate,18.0,21.0,,,,630.0
1028,"Krasnaya Pahra, Moscow",Good,10.0,3.0,,56.1,5.9,
1029,"Cavite City, Calabarzon",Unhealthy For Sensitive Groups,40.3,,,,,
1030,"Paranaque, National Capital Region",Unhealthy For Sensitive Groups,36.9,,,,,
1031,"Pasig, National Capital Region",Moderate,22.5,,,,,
1032,"Balanga, Central Luzon",Moderate,15.9,,,,,
1033,"Makati, National Capital Region",Moderate,15.4,,,,,
1034,"Bulacan, Central Luzon",Moderate,13.1,,,,,
1035,"Puerto Princesa, Mimaropa",Moderate,13.0,21.0,,,,
1036,"Pasig City, National Capital Region",Good,9.0,,,,,
1037,"Davao City, Davao",Good,8.5,9.9,,7.9,,
1038,"San Juan, National Capital Region",Good,7.4,,,,,
1039,"Yangon, Yangon",Unhealthy For Sensitive Groups,52.6,,2.0,,,
1040,"Mandalay, Mandalay",Unhealthy For Sensitive Groups,44.8,,,,,
1041,"Syriam, Yangon",Unhealthy For Sensitive Groups,39.1,,,,,
1042,"Vientiane, Vientiane",Unhealthy For Sensitive Groups,46.6,,,,,
1043,"Imperial Beach, California",Unhealthy,70.4,,,,,
1044,"Midway, Pennsylvania",Unhealthy,56.7,,,,,
1045,"Roseville, Minnesota",Unhealthy,58.2,,,,,
1046,"Blaine, Minnesota",Unhealthy For Sensitive Groups,36.3,,,,,
1047,"Cambria, California",Unhealthy For Sensitive Groups,54.0,,,,,
1048,"Matheny, California",Unhealthy For Sensitive Groups,53.8,,,,,
1049,"Albemarle, North Carolina",Unhealthy For Sensitive Groups,53.4,,,,,
1050,"Happy Camp, California",Unhealthy For Sensitive Groups,52.4,,,,,
1051,"New Auburn, Wisconsin",Unhealthy For Sensitive Groups,51.5,,,,,
1052,"Bakersfield, California",Unhealthy For Sensitive Groups,51.0,,6.0,86.5,,
1053,"Lovech, Lovech",Moderate,17.0,21.3,,,,
1054,"Nesebar, Burgas",Moderate,17.0,22.1,,16.3,0.0,
1055,"Oriyakovica, Veliko Tarnovo",Moderate,17.0,22.6,28.9,13.3,8.4,
1056,"Vratsa, Vratsa",Moderate,17.0,22.4,47.7,6.1,,0.0
1057,"Dobrich, Dobrich",Moderate,16.0,20.6,,,,
1058,"Shumen, Shumen",Moderate,16.0,19.5,56.6,4.1,4.0,
1059,"Devnya, Varna",Moderate,15.0,18.3,49.4,3.7,,0.0
1060,"Ruse, Ruse",Moderate,14.9,14.2,40.3,4.8,,0.0
1061,"Vidin, Vidin",Moderate,14.0,17.1,,,,
1062,"Kardzhali, Kardzhali",Good,12.0,15.0,,,,
1063,"Pekan, Pahang",Moderate,30.2,,,,,
1064,"Klang, Selangor",Moderate,28.9,,,,,
1065,"Tanah Merah, Kelantan",Moderate,28.9,,,,,
1066,"Balok, Pahang",Moderate,26.3,,,,,
1067,"Kuala Terengganu, Terengganu",Moderate,26.3,,,,,
1068,"Kuala Selangor, Selangor",Moderate,23.7,,,,,
1069,"Chukai, Terengganu",Moderate,22.5,,,,,
1070,"Johor Bahru, Johor",Moderate,22.5,,,,,
1071,"Kota Bharu, Kelantan",Moderate,21.2,,,,,
1072,"Petaling Jaya, Selangor",Moderate,21.2,,,,,
1073,"Carabayllo, Lima",Moderate,20.9,5.0,3.1,,3.6,1.0
1074,"San Juan de Lurigancho, Lima",Moderate,16.0,,4.5,,9.4,1.0
1075,"Lima, Lima",Good,11.5,14.8,,,,2.0
1076,"Trujillo, La Libertad",Good,9.7,,,,,
1077,"Cusco, Cusco",Good,8.2,,,,,
1078,"HUACHIPA, Lima",Good,,,,7.1,51.3,57.5
1079,"Puerto Maldonado, Madre de Dios",Good,5.7,,,,,
1080,"El Tambo, Junin",Good,4.2,,,,,
1081,"Santa Anita, Lima",Good,,,,96.7,17.3,
1082,"Chupaca, Junin",Good,3.1,,,,,
1083,"Novi Pazar, Central serb",Unhealthy,81.0,81.4,,46.4,11.1,
1084,"Valjevo, Central Serbia",Unhealthy For Sensitive Groups,47.9,48.2,,25.4,32.0,
1085,"Uzice, Central Serbia",Moderate,31.8,32.1,,2.2,12.0,
1086,"Cacak, Central Serbia",Moderate,23.0,,,5.7,,
1087,"Lipe, Central Serbia",Moderate,19.8,,,,,
1088,"Nis, Central Serbia",Moderate,19.9,18.9,46.4,7.6,14.1,
1089,"Kragujevac, Central Serbia",Moderate,19.3,,,26.0,,
1090,"Gornji Milanovac, Central serb",Moderate,16.0,,,,,
1091,"Paracin, Central serb",Moderate,14.6,14.8,17.9,7.7,4.7,
1092,"Bor, Central Serbia",Moderate,14.0,15.6,,,25.4,
1093,"Hnusta, Banska Bystrica",Unhealthy For Sensitive Groups,38.0,45.0,,,,
1094,"Novaky, Nitra",Moderate,27.0,16.0,,,1.0,
1095,"Jelsava, Banska Bystrica",Moderate,23.0,29.0,5.0,12.7,,
1096,"Martin, Zilina",Moderate,19.0,11.0,,,,
1097,"Prievidza, Trencin",Moderate,18.0,17.0,,,,
1098,"Kosice, Kosice",Moderate,17.0,15.5,4.0,,2.0,291.0
1099,"Moldava nad Bodvou, Kosice",Moderate,16.5,17.6,,,,
1100,"Nad Jazerom, Kosice",Moderate,15.0,14.0,,,,
1101,"Handlova, Trencin",Moderate,14.0,8.0,,,,
1102,"Nitra, Nitra",Moderate,14.0,14.0,,12.0,,
1103,"Rivas-Vaciamadrid, Madrid",Unhealthy,84.0,119.0,4.0,94.0,,
1104,"Getafe, Madrid",Unhealthy,71.0,85.0,2.0,135.0,,
1105,"Valdemoro, Madrid",Unhealthy,62.0,,2.0,1.0,,
1106,"Torrejon de Ardoz, Madrid",Unhealthy,60.0,69.0,5.0,90.0,,
1107,"Leganés, Madrid",Unhealthy,58.0,70.0,1.0,115.0,,
1108,"Coslada, Madrid",Unhealthy For Sensitive Groups,54.0,53.0,1.0,78.0,,
1109,"Medina del Campo, Castille and Leon",Unhealthy For Sensitive Groups,53.0,66.0,3.0,17.0,,
1110,"Villa del Prado, Madrid",Unhealthy For Sensitive Groups,53.0,67.0,3.0,34.0,1.0,0.0
1111,"Toledo, Castilla-La Mancha",Unhealthy For Sensitive Groups,47.0,70.0,2.0,60.0,2.0,
1112,"Ogijares, Andalucia",Unhealthy For Sensitive Groups,46.0,67.2,4.0,34.0,3.0,0.0
1113,"Fiq, Quneitra",Moderate,16.0,,,,,
1114,"Arwad, Tartus",Good,1.4,32.0,,4.0,0.0,
1115,Delhi,Hazardous,337.4,483.6,31.8,67.4,22.2,2880.9
1116,Bishkek,Hazardous,286.5,2.2,,,,
1117,Lahore,Hazardous,227.4,,,,,
1118,Dhaka,Very Unhealthy,148.2,,,,,
1119,Guangzhou,Very Unhealthy,118.1,201.7,56.9,172.0,13.8,1487.5
1120,Ulaanbaatar,Very Unhealthy,100.7,105.5,2.3,28.7,89.5,24.5
1121,Hangzhou,Very Unhealthy,71.3,138.5,46.0,63.1,13.7,867.6
1122,Hanoi,Unhealthy,125.2,182.1,0.8,35.0,0.7,1946.5
1123,Kabul,Unhealthy,94.6,,,,,
1124,Kolkata,Unhealthy,114.0,204.4,62.6,38.6,15.8,969.7
1125,Chongqing,Unhealthy,102.8,162.6,34.6,82.2,16.3,961.1
1126,Shanghai,Unhealthy,77.3,128.6,50.7,75.3,11.3,959.4
1127,Chengdu,Unhealthy,116.7,169.1,44.3,79.0,8.2,1326.3
1128,Kathmandu,Unhealthy,97.0,131.1,58.6,,,
1129,Bangkok,Unhealthy,81.7,127.1,80.4,4.4,,1557.6
1130,Mumbai,Unhealthy,66.4,153.1,44.3,53.8,16.2,835.3
1131,Phnom Penh,Unhealthy,81.3,,,,,
1132,Karachi,Unhealthy,101.9,,,,,
1133,Sarajevo,Unhealthy,39.3,43.9,9.8,49.4,49.0,
1134,Wuhan,Unhealthy,76.5,171.6,56.3,48.6,16.2,952.8
1135,Yangon,Unhealthy,50.0,,2.0,,,
1136,Kaohsiung,Unhealthy,35.6,64.2,95.2,53.2,9.1,730.7
1137,Zagreb,Unhealthy,57.7,41.5,16.8,46.2,6.6,915.6
1138,Chiang Mai,Unhealthy For Sensitive Groups,54.2,74.7,76.3,13.7,3.6,
1139,Jakarta,Unhealthy For Sensitive Groups,28.3,28.5,,,,
1140,New York City,Unhealthy For Sensitive Groups,21.1,,10.4,,2.5,412.3
1141,Bogota,Unhealthy For Sensitive Groups,25.7,45.3,6.6,,,
1142,Dubai,Unhealthy For Sensitive Groups,46.1,,,,,
1143,Shenzhen,Unhealthy For Sensitive Groups,35.7,72.5,63.4,71.0,7.1,661.8
