,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
261,"Charlotte Amalie, Saint Thomas Island",Good,2.8,,,,,
262,"Cruz Bay, Saint John Island",Good,0.6,,,,,
263,"Hafnarfjoerdur, Capital Region",Good,8.1,15.0,,3.6,3.6,
264,"Reykjavik, Capital Region",Good,7.0,11.0,,3.3,6.9,
265,"Kopavogur, Capital Region",Good,6.0,9.9,,0.0,0.0,
266,"Grundartangi, West",Good,3.5,5.5,,0.0,0.0,
267,"Akureyri, Northeast",Good,2.0,1.0,,28.6,,
268,"Isafjoerdur, Westfjords",Good,0.0,,,,,
269,"Reydarfjoerdur, East",,,,,,,
270,"Siuntio, Uusimaa",Moderate,14.7,,,,,
271,"Lansi-Turunmaa, Finland Proper",Moderate,13.4,21.4,,5.0,1.6,
272,"Lohja, Uusimaa",Moderate,12.8,,,,,
273,"Pertteli, Finland Proper",Good,11.7,,,,,
274,"Espoo, Uusimaa",Good,10.3,7.9,,5.0,0.0,
275,"Helsinki, Uusimaa",Good,8.4,7.5,40.2,0.0,0.0,
276,"Nurmijaervi, Uusimaa",Good,8.5,,,,,
277,"Vantaa, Uusimaa",Good,8.1,6.2,,8.2,,
278,"Hameenlinna, Tavastia Proper",Good,7.0,6.1,,1.8,,
279,"Seinajoki, Southern Ostrobothnia",Good,7.0,5.1,,7.0,,
280,"Sillamaee, Ida-Virumaa",Moderate,16.0,17.0,,,,
281,"Sinimaee, Ida-Virumaa",Moderate,12.5,16.1,,,0.9,
282,"Tartu, Tartumaa",Good,11.2,13.8,,12.6,0.0,300.0
283,"Voore, Jogevamaa",Good,10.1,,,5.9,0.0,
284,"Narva, Ida-Virumaa",Good,8.7,12.1,,9.2,0.0,
285,"Kohtla-Jaerve, Ida-Virumaa",Good,8.4,7.8,,10.5,3.2,
286,"Tallinn, Harjumaa",Good,8.0,16.8,22.0,14.7,0.0,280.0
287,"Parnu Jogi, Paernumaa",Good,,,,10.4,0.0,
288,"Solna, Stockholm",Moderate,14.7,,,,,
289,"Lilla Essingen, Stockholm",Moderate,13.6,,,,,
290,"Enkoeping, Uppsala län",Good,9.3,,,,,
291,"Norr Malma, Stockholm",Good,9.2,9.2,,7.2,,
292,"Haggvik, Stockholm",Good,8.6,12.3,,,,
293,"Sollentuna, Stockholm",Good,8.8,12.0,,,,
294,"Sodertalje, Stockholm",Good,8.0,9.1,,48.4,,
295,"Stockholm, Stockholm",Good,8.0,9.9,,11.3,,
296,"Kungsholmen, Stockholm",Good,7.9,10.7,,10.0,,
297,"Lund, Skåne län",Good,7.0,8.2,34.9,4.9,,
298,"Narvik, Nordland",Moderate,13.3,20.4,,,,
299,"Stavanger, Rogaland",Good,11.6,11.9,,30.5,,
300,"Hamar, Hedmark",Good,8.4,9.3,,5.8,,
301,"Trondheim, Sor-Trondelag",Good,8.3,10.6,,40.7,,
302,"Mo i Rana, Nordland",Good,7.7,12.1,,,,
303,"Drammen, Buskerud",Good,7.6,7.8,,15.8,,
304,"Harstad, Troms",Good,6.9,7.9,,5.3,,
305,"Sjolyststranda, Oslo",Good,6.3,6.7,7.0,11.4,0.0,
306,"Alesund, More og Romsdal",Good,5.0,5.7,,21.6,,
307,"Gjovik, Oppland",Good,4.5,4.9,,11.8,,
308,"Darfield, Canterbury",Moderate,12.4,,,,,
309,"Rangiora, Canterbury",Good,10.4,19.4,,,,
310,"Awatoto, Hawke's Bay",Good,9.2,21.2,,,,
311,"Hastings, Hawke's Bay",Good,9.1,10.9,,,,
312,"Gisborne, Gisborne",Good,8.6,24.5,,,,
313,"Winton, Southland",Good,8.6,,,,,
314,"Ashburton, Canterbury",Good,8.0,22.0,,,,
315,"Christchurch, Canterbury",Good,7.2,18.6,,,,
316,"Napier, Hawke's Bay",Good,7.3,19.4,,,,
317,"Wainuiomata, Wellington",Good,6.9,13.5,,,,
318,"Golden, British Columbia",Unhealthy For Sensitive Groups,46.0,30.7,,,,
319,"Houston, British Columbia",Unhealthy For Sensitive Groups,43.9,0.0,,,,
320,"Dawson City, Yukon",Unhealthy For Sensitive Groups,43.4,,,,,
321,"Barrie, Ontario",Moderate,31.0,,24.0,21.4,,
322,"Hamilton, Ontario",Moderate,31.1,27.0,31.0,22.9,0.8,
323,"Simcoe, Ontario",Moderate,29.8,,,,,
324,"Woodstock, Ontario",Moderate,28.5,,,,,
325,"Otterburn Park, Quebec",Moderate,26.3,,,,,
326,"Oshawa, Ontario",Moderate,24.0,,20.0,29.1,,
327,"Revelstoke, British Columbia",Moderate,24.2,,,,,
328,"Port Macquarie, New South Wales",Unhealthy For Sensitive Groups,53.8,2.6,2.0,3.8,,
329,"Muswellbrook, New South Wales",Unhealthy For Sensitive Groups,36.8,25.0,,1.9,2.6,
330,"Manilla, New South Wales",Moderate,33.6,51.0,,,,
331,"Geraldton, Western Australia",Moderate,14.0,118.3,,,,
332,"Goulburn, New South Wales",Moderate,23.1,15.5,74.0,1.9,,
333,"Coffs Harbour, New South Wales",Moderate,18.5,45.0,,1.9,,4.5
334,"Orange, New South Wales",Moderate,18.5,65.8,,,,
335,"Collie, Western Australia",Moderate,,79.5,,,,
336,"Moruya, New South Wales",Moderate,17.5,,,,,
337,"Wallsend, New South Wales",Moderate,84.9,69.2,18.0,9.4,15.7,
338,"Mitsuishi, Okayama",Unhealthy,61.0,76.0,,32.0,10.5,
339,"Mizuochicho, Fukui",Unhealthy For Sensitive Groups,52.0,,,62.0,,
340,"Seicho, Kagawa",Unhealthy For Sensitive Groups,47.0,75.0,,58.3,15.7,
341,"Osaka, Osaka",Unhealthy For Sensitive Groups,46.7,61.0,,112.8,,
342,"Toyocho, Aichi",Unhealthy For Sensitive Groups,44.0,53.0,,67.7,7.9,
343,"Amagasaki, Hyogo",Unhealthy For Sensitive Groups,43.0,,,,,916.0
344,"Kamihonnojimaecho, Kyoto",Unhealthy For Sensitive Groups,42.0,44.0,,56.4,,
345,"Sumauradori, Hyogo",Unhealthy For Sensitive Groups,42.0,,,97.8,,
346,"Goi, Chiba",Unhealthy For Sensitive Groups,41.0,,,79.0,15.7,
347,"Kaidecho, Kyoto",Unhealthy For Sensitive Groups,41.0,25.0,,48.9,2.6,
348,"Datong, Shanxi",Hazardous,277.0,1159.0,8.0,66.0,72.0,2600.0
349,"Xinzhou, Shanxi",Hazardous,280.0,1133.0,9.0,35.0,129.0,1100.0
350,"Hohhot, Inner Mongolia",Hazardous,287.5,1000.0,8.0,47.0,23.0,2511.0
351,"Zhangjiakou, Hebei",Hazardous,103.0,925.5,16.0,38.5,14.0,1290.5
352,"Daqing, Heilongjiang",Hazardous,259.0,862.0,5.0,72.0,69.0,3200.0
353,"Baotou, Inner Mongolia",Hazardous,250.0,853.0,9.0,56.0,36.0,2800.0
354,"Taiyuan, Shanxi",Hazardous,223.0,750.0,11.0,46.0,24.0,1400.0
355,"Yulin, Shaanxi",Hazardous,217.0,723.0,5.0,57.5,14.5,1896.5
356,"Lvliang, Shanxi",Hazardous,143.0,636.0,6.0,38.0,47.0,1000.0
357,"Jining, Inner Mongolia",Hazardous,147.0,466.0,20.0,30.0,27.0,896.0
358,"Golden, British Columbia",Unhealthy,66.9,30.7,,,,
359,"Houston, British Columbia",Unhealthy,78.8,0.0,,,,
360,"Dawson City, Yukon",Unhealthy For Sensitive Groups,43.4,,,,,
361,"Barrie, Ontario",Moderate,31.0,,24.0,21.4,,
362,"Hamilton, Ontario",Moderate,34.7,27.0,31.0,22.9,0.8,
363,"Simcoe, Ontario",Unhealthy For Sensitive Groups,40.1,,,,,
364,"Woodstock, Ontario",Moderate,27.8,,,,,
365,"Otterburn Park, Quebec",Moderate,30.0,,,,,
366,"Oshawa, Ontario",Moderate,24.0,,20.0,29.1,,
367,"Revelstoke, British Columbia",Moderate,24.9,,,,,
368,"Hanoi, Hanoi",Unhealthy,128.6,156.0,,37.8,,1800.8
369,"Ben Cat, Tinh Binh Duong",Unhealthy,138.6,,,,,
370,"Van Dien, Hanoi",Unhealthy,112.4,141.5,,24.9,,1019.9
371,"Phuc Yen, Tinh Vinh Phuc",Unhealthy,130.3,228.0,,,,
372,"Luong Son, Tinh Hoa Binh",Unhealthy,129.4,239.5,,,,
373,"Cho, Tinh Bac Ninh",Unhealthy,104.1,136.0,2.3,25.9,4.5,662.6
374,"Cau Dien, Hanoi",Unhealthy,107.7,170.9,0.0,64.1,3.4,1491.9
375,"Bac Ninh, Tinh Bac Ninh",Unhealthy,115.4,169.3,,,87.6,
376,"Nhu Quynh, Tinh Hung Yen",Unhealthy,138.0,318.0,0.0,35.3,9.9,4.7
