,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
121,"Revelstoke, British Columbia",Moderate,24.2,NULL,NULL,NULL,NULL,NULL
122,"Port Macquarie, New South Wales",Unhealthy For Sensitive Groups,53.8,2.6,2,3.8,NULL,NULL
123,"Muswellbrook, New South Wales",Unhealthy For Sensitive Groups,36.8,25,NULL,1.9,2.6,NULL
124,"Manilla, New South Wales",Moderate,33.6,51,NULL,NULL,NULL,NULL
125,"Geraldton, Western Australia",Moderate,14,118.3,NULL,NULL,NULL,NULL
126,"Goulburn, New South Wales",Moderate,23.1,15.5,74,1.9,NULL,NULL
127,"Coffs Harbour, New South Wales",Moderate,18.5,45,NULL,1.9,NULL,4.5
128,"Orange, New South Wales",Moderate,18.5,65.8,NULL,NULL,NULL,NULL
129,"Collie, Western Australia",Moderate,NULL,79.5,NULL,NULL,NULL,NULL
130,"Moruya, New South Wales",Moderate,17.5,NULL,NULL,NULL,NULL,NULL
131,"Wallsend, New South Wales",Moderate,84.9,69.2,18,9.4,15.7,NULL
