City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
"Nakhon Chai Si, Nakhon Pathom",161,75.0,114.0,44.0,37.6,10.5,893.1
"Samut Songkhram, Samut Songkhram",164,81.2,,,,,
"San Kamphaeng, Chiang Mai",118,42.6,,,,,
"Chiang Rai, Chiang Rai",153,59.1,28.5,22.0,3.8,,681.3
"Ecublens, Vaud",120,43.2,,,,,
"Dubendorf, Zurich",103,36.3,18.0,26.0,28.0,1.0,
"Liestal, Basel-Landschaft",83,27.5,,,,,
"Rhaezuens, Grisons",91,31.0,32.1,6.6,,,
"Rotkreuz, Zug",83,27.5,,,,,
"Chur, Grisons",77,24.5,31.5,19.2,34.3,,
"Dietikon, Zurich",77,24.5,,,,,
"Richterswil / Dorfkern, Zurich",74,23.3,,,,,
"Binningen, Basel-Landschaft",74,23.0,24.0,8.0,,,
"Harkingen, Solothurn",70,21.0,42.0,6.0,,,
"Meligalas, Peloponnese",152,56.8,,,,,
"Messini, Peloponnese",148,54.9,,,,,
"Palaio Faliro, Attica",130,47.3,,,,,
"Vrachnaiika, West Greece",125,45.2,,,,,
"Agios Ioannis Rentis, Attica",114,40.7,,,,,
"Peristeri, Attica",98,34.7,,,,,
"Athens, Attica",87,29.2,,,,,
"Piraeus, Attica",87,29.3,,,,,
"Agia Varvara, Attica",76,24.3,,,,,
"Nikaia, Attica",76,23.8,,,,,
"Sao Bernardo do Campo, Sao Paulo",61,17.0,,22.0,,,
"Santa Gertrudes, Sao Paulo",57,10.0,68.0,,,,
"Sao Caetano do Sul, Sao Paulo",53,13.0,19.0,42.0,35.0,1.0,
"Guarulhos, Sao Paulo",45,11.0,13.0,41.0,23.0,1.0,572.5
"Cubatao, Sao Paulo",44,,48.0,,43.0,3.0,
"Campinas, Sao Paulo",41,10.0,11.0,,19.0,,
"Maua, Sao Paulo",37,9.0,11.0,28.0,36.0,2.0,
"Sao Jose do Rio Preto, Sao Paulo",37,9.0,17.0,36.0,31.0,,
"Pianco, Paraiba",36,8.8,,,,,
"Boa Vista, Roraima",31,7.5,,,,,
"Solnechnyy, Krasnoyarsk Krai",33,150.0,,,160.0,60.0,140.0
"Zyryanka, Chukot",72,22.0,,,,,
"Balashikha, Moscow Oblast",92,31.8,,,,,
"Krasnoyarsk, Krasnoyarsk Krai",62,17.4,,,160.0,50.0,160.0
"Magnitogorsk, Chelyabinsk",83,27.2,,,,,
"Serpukhov, Moscow Oblast",65,18.9,,,,,
"Krasnodar, Krasnodarskiy",57,15.0,,,,,
"Moscow, Moscow",97,34.1,15.0,24.3,34.7,1.6,200.0
"Berezovka, Krasnoyarsk Krai",44,130.0,,,270.0,20.0,80.0
"Kamensk-Shakhtinskiy, Rostov",42,10.2,,,,,
"Bulacan, Central Luzon",51,12.3,,,,,
"Puerto Princesa, Mimaropa",65,19.0,35.0,,,,
"Makati, National Capital Region",78,24.9,,,,,
"Davao City, Davao",59,16.0,26.5,,13.0,,
"Pasig City, National Capital Region",51,12.3,,,,,
"Butuan, Caraga",50,12.0,18.0,,,,
"Balanga, Central Luzon",66,19.2,,,,,
"Quezon City, National Capital Region",30,7.3,,,,,
"San Juan, National Capital Region",45,10.8,,,,,
"Mandaluyong, National Capital Region",20,4.8,,,,,
"Mandalay, Mandalay",155,62.9,,,,,
"Yangon, Yangon",154,62.1,,4.0,,,
"Syriam, Yangon",109,38.8,,,,,
"Vientiane, Vientiane",70,21.0,,,,,
"Tuolumne City, California",156,64.8,,,,,
"La Jolla Shores, California",148,54.7,,,,,
"Peaceful Valley, Washington",99,35.1,,,,,
"Fort Jones, California",151,55.5,,,,,
"Hanford, California",134,49.0,75.1,2.0,39.5,,
"Chippewa Falls, Wisconsin",122,44.2,,,,,
"Visalia, California",110,39.0,,38.0,,,
"Las Vegas, New Mexico",119,42.8,,,,,
"Sparta, Wisconsin",142,52.3,,,,,
"Reedley, California",120,43.2,,,,,
"Plovdiv, Plovdiv",167,86.0,95.8,4.1,,6.5,0.0
"Vidin, Vidin",110,39.0,46.4,,,,
"Nesebar, Burgas",84,28.0,38.8,,11.5,2.2,
"Ruse, Ruse",81,26.4,27.6,3.6,,,0.0
"Sliven, Sliven",72,22.0,24.2,,,,
"Devnya, Varna",68,20.0,27.2,0.0,1.3,,0.0
"Kardzhali, Kardzhali",68,20.0,26.2,,,,
"Varna, Varna",66,19.4,20.3,5.8,,,0.0
"Stara Zagora, Stara Zagora",61,17.0,21.1,,18.0,6.5,0.0
"Sofia, Sofia",57,14.9,27.4,27.5,22.9,5.5,0.0
"Petaling Jaya, Selangor",100,35.4,,,,,
"Klang, Selangor",78,25.0,,,,,
"Kuala Langat, Selangor",77,24.3,,,,,
"Banting, Selangor",73,22.5,,,,,
"Nilai, Negeri Sembilan",70,21.2,,,,,
"Seri Manjung, Perak",65,18.6,,,,,
"Shah Alam, Selangor",65,18.6,,,,,
"Kuala Lumpur, Kuala Lumpur",42,10.2,,,,,
"Prai, Penang",59,16.0,,,,,
"Putrajaya, Putrajaya",59,16.0,,,,,
"San Juan de Lurigancho, Lima",5,20.6,,4.3,,9.9,1.0
"Trujillo, La Libertad",56,14.3,,,,,
"Lima, Lima",43,10.5,14.1,,,,
"HUACHIPA, Lima",28,,,,,50.4,46.0
"El Tambo, Junin",21,5.1,,,,,
"Cusco, Cusco",17,4.1,,,,,
"Chupaca, Junin",12,3.0,,,,,
"Santa Anita, Lima",10,,,,3.1,17.7,
"Puerto Maldonado, Madre de Dios",2,0.5,,,,,
"Valjevo, Central Serbia",153,59.7,32.0,,40.8,8.3,
"Novi Pazar, Central serb",141,51.7,52.7,19.3,15.9,11.1,
"Novi Sad, Autonomna Pokrajina Vojvodina",67,19.7,21.1,,31.9,10.9,
"Pancevo, Autonomna Pokrajina Vojvodina",58,15.4,17.8,39.7,4.2,13.4,
"Kragujevac, Central Serbia",46,11.2,,,7.7,,
"KOSJERIC, Central Serbia",32,7.8,8.0,4.6,5.3,4.5,
"Lipe, Central Serbia",31,7.5,,,,,
"Belgrade, Central Serbia",25,6.0,6.2,63.0,8.1,16.2,435.0
"Vrsac, Autonomna Pokrajina Vojvodina",25,,,61.2,1.6,6.5,
"Gornji Milanovac, Central serb",21,5.2,,,,,
"Novaky, Nitra",84,28.0,10.0,,,2.0,
"Jelsava, Banska Bystrica",28,27.0,31.0,6.0,,,
"Banska Bystrica, Banska Bystrica",62,17.5,14.0,3.0,19.0,,
"Hnusta, Banska Bystrica",72,22.0,27.0,,,,
"Martin, Zilina",84,28.0,21.0,,,,
"Vranov nad Toplou, Presov",63,18.0,23.0,,,7.0,
"Moldava nad Bodvou, Kosice",46,11.2,12.8,,,,
"Handlova, Trencin",70,21.0,15.0,,,,
"Strazske, Kosice",65,19.0,20.0,,,,
"Zvolen-Motova, Banska Bystrica",25,6.0,8.0,,,,
"Puebla de Alfinden, Aragon",102,35.7,,,,,
"Ourense, Galicia",59,16.0,22.0,22.0,42.0,2.7,0.0
"Ponferrada, Castille and Leon",68,20.0,24.0,5.0,25.0,6.0,
"Pontecesures, Galicia",76,24.2,16.3,3.7,,1.0,
"Sants, Catalunya",77,24.5,,,,,
"Palma, Balearic Islands",21,5.0,11.0,42.0,14.0,2.3,0.0
"Vitoria-Gasteiz, Basque Country",74,23.0,19.5,,32.5,4.0,0.0
"Altsasu, Navarre",61,17.0,20.0,3.0,34.0,5.0,
"Ciutat Meridiana, Catalunya",68,20.0,28.0,,,,
"Guadalix de la Sierra, Madrid",61,17.0,24.0,,41.0,,
"Fiq, Quneitra",117,41.9,,,,,
"Arwad, Tartus",75,23.4,39.5,,7.7,3.4,
"Dhaka, Dhaka",218,167.2,,,,,
"Manikganj, Dhaka",196,142.8,,,,,
"Savar, Dhaka",176,103.9,,,,,
"Narayanganj, Dhaka",37,9.0,,,,,
"Faisalabad, Punjab",382,332.2,,,,,
"Bahawalpur, Punjab",191,132.6,,,,,
"Raiwind, Punjab",176,103.2,,,,,
"Lahore, Punjab",174,100.9,,,,,
"Karachi, Sindh",170,93.0,,,,,
"Sahiwal, Punjab",173,98.0,,,,,
"Islamabad, Islamabad",154,61.2,,,,,
"Peshawar, Khyber Pakhtunkhwa",156,65.0,,,,,
"Rawalpindi, Punjab",155,63.7,,,,,
"Muridke, Punjab",118,42.6,,,,,
"Darhan, Darhan Uul",88,29.6,,,,,
"Ulaanbaatar, Ulaanbaatar",62,13.2,78.0,7.0,7.5,38.0,8.5
"Ulaan-Uul, East Gobi Aymag",17,4.0,5.0,,4.0,,
"Urt, OEmnoegovi",29,7.0,28.0,,8.0,4.0,
"Hongor, Suhbaatar",12,2.0,13.0,,3.0,5.0,
"Tsetserleg, Arhangay",18,4.2,,,,,
"Sumber, East Aimak",13,1.0,14.0,,2.0,9.5,
"Chonogol, Suhbaatar",12,3.0,4.0,,3.0,,41.0
"Kabul, Kabul",113,40.2,,,,,
"Haldia, West Bengal",270,220.3,207.0,,39.8,10.2,750.0
