,City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
152,"Stara Zagora, Stara Zagora",61,17,21.1,NULL,18,6.5,0
153,"Sofia, Sofia",57,14.9,27.4,27.5,22.9,5.5,0
154,"Petaling Jaya, Selangor",100,35.4,NULL,NULL,NULL,NULL,NULL
155,"Klang, Selangor",78,25,NULL,NULL,NULL,NULL,NULL
156,"Kuala Langat, Selangor",77,24.3,NULL,NULL,NULL,NULL,NULL
157,"Banting, Selangor",73,22.5,NULL,NULL,NULL,NULL,NULL
158,"Nilai, Negeri Sembilan",70,21.2,NULL,NULL,NULL,NULL,NULL
159,"Seri Manjung, Perak",65,18.6,NULL,NULL,NULL,NULL,NULL
160,"Shah Alam, Selangor",65,18.6,NULL,NULL,NULL,NULL,NULL
161,"Kuala Lumpur, Kuala Lumpur",42,10.2,NULL,NULL,NULL,NULL,NULL
162,"Prai, Penang",59,16,NULL,NULL,NULL,NULL,NULL
163,"Putrajaya, Putrajaya",59,16,NULL,NULL,NULL,NULL,NULL
164,"San Juan de Lurigancho, Lima",5,20.6,NULL,4.3,NULL,9.9,1
165,"Trujillo, La Libertad",56,14.3,NULL,NULL,NULL,NULL,NULL
166,"Lima, Lima",43,10.5,14.1,NULL,NULL,NULL,NULL
167,"HUACHIPA, Lima",28,NULL,NULL,NULL,NULL,50.4,46
168,"El Tambo, Junin",21,5.1,NULL,NULL,NULL,NULL,NULL
169,"Cusco, Cusco",17,4.1,NULL,NULL,NULL,NULL,NULL
170,"Chupaca, Junin",12,3,NULL,NULL,NULL,NULL,NULL
171,"Santa Anita, Lima",10,NULL,NULL,NULL,3.1,17.7,NULL
172,"Puerto Maldonado, Madre de Dios",2,0.5,NULL,NULL,NULL,NULL,NULL
173,"Inapari, Madre de Dios",NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,"Valjevo, Central Serbia",153,59.7,32,NULL,40.8,8.3,NULL
175,"Novi Pazar, Central serb",141,51.7,52.7,19.3,15.9,11.1,NULL
176,"Novi Sad, Autonomna Pokrajina Vojvodina",67,19.7,21.1,NULL,31.9,10.9,NULL
177,"Pancevo, Autonomna Pokrajina Vojvodina",58,15.4,17.8,39.7,4.2,13.4,NULL
178,"Kragujevac, Central Serbia",46,11.2,NULL,NULL,7.7,NULL,NULL
179,"KOSJERIC, Central Serbia",32,7.8,8,4.6,5.3,4.5,NULL
180,"Lipe, Central Serbia",31,7.5,NULL,NULL,NULL,NULL,NULL
181,"Belgrade, Central Serbia",25,6,6.2,63,8.1,16.2,435
182,"Vrsac, Autonomna Pokrajina Vojvodina",25,NULL,NULL,61.2,1.6,6.5,NULL
183,"Gornji Milanovac, Central serb",21,5.2,NULL,NULL,NULL,NULL,NULL
184,"Novaky, Nitra",84,28,10,NULL,NULL,2,NULL
185,"Jelsava, Banska Bystrica",28,27,31,6,NULL,NULL,NULL
186,"Banska Bystrica, Banska Bystrica",62,17.5,14,3,19,NULL,NULL
187,"Hnusta, Banska Bystrica",72,22,27,NULL,NULL,NULL,NULL
188,"Martin, Zilina",84,28,21,NULL,NULL,NULL,NULL
189,"Vranov nad Toplou, Presov",63,18,23,NULL,NULL,7,NULL
190,"Moldava nad Bodvou, Kosice",46,11.2,12.8,NULL,NULL,NULL,NULL
191,"Handlova, Trencin",70,21,15,NULL,NULL,NULL,NULL
192,"Strazske, Kosice",65,19,20,NULL,NULL,NULL,NULL
193,"Zvolen-Motova, Banska Bystrica",25,6,8,NULL,NULL,NULL,NULL
194,"Puebla de Alfinden, Aragon",102,35.7,NULL,NULL,NULL,NULL,NULL
195,"Ourense, Galicia",59,16,22,22,42,2.7,0
196,"Ponferrada, Castille and Leon",68,20,24,5,25,6,NULL
197,"Pontecesures, Galicia",76,24.2,16.3,3.7,NULL,1,NULL
198,"Sants, Catalunya",77,24.5,NULL,NULL,NULL,NULL,NULL
199,"Palma, Balearic Islands",21,5,11,42,14,2.3,0
200,"Vitoria-Gasteiz, Basque Country",74,23,19.5,NULL,32.5,4,0
201,"Altsasu, Navarre",61,17,20,3,34,5,NULL
202,"Ciutat Meridiana, Catalunya",68,20,28,NULL,NULL,NULL,NULL
203,"Guadalix de la Sierra, Madrid",61,17,24,NULL,41,NULL,NULL
204,"Fiq, Quneitra",117,41.9,NULL,NULL,NULL,NULL,NULL
205,"Arwad, Tartus",75,23.4,39.5,NULL,7.7,3.4,NULL
